,Cont,tc,td,tr,ac,tp1,dp1,tt,tp1.1,p,leb.b,l6.b,uhc,gdp20
Afghanistan,Asia,53522,2288,43948,7286,1359,58,214575,5448,39386438,54.99,13.92,34,1961102
Albania,Europe,63595,1241,37648,24706,22111,431,287405,99928,2876128,73.55,19,58,12915116
Algeria,Africa,102144,2807,69212,30125,2307,63,NA,NA,44266190,72.21,19.81,76,10445131
Angola,Africa,18193,416,13872,3905,545,12,174111,5213,33396916,49.3,14.42,38,6602074
Antigua and Barbuda,North America,176,5,152,19,1789,51,7046,71637,98357,74.56,20.27,73,17648967
Argentina,South America,1722217,44495,1511750,165972,37922,980,5228200,115122,45414613,74.09,20.18,76,19271090
Armenia,Asia,162131,2929,149312,9890,54660,987,608905,205283,2966180,71.88,18.81,66,12994717
Australia,Oceania,28595,909,25825,1861,1115,35,11994464,467516,25655736,79.69,23.11,86,48102646
Austria,Europe,380722,6723,353749,20250,42145,744,3871527,428571,9033579,78.17,21.95,79,52418014
Azerbaijan,Asia,224651,2909,208681,13061,22052,286,2267923,222620,10187406,65.52,16.61,63,13717089
Bahrain,Asia,95558,356,92362,2840,55166,206,2474881,1428763,1732185,70.47,14.97,75,46411782
Bangladesh,Asia,522453,7781,466801,47871,3156,47,3357319,20279,165554684,65.59,17.84,46,4861454
Barbados,North America,878,7,389,482,3053,24,83086,288932,287562,74.5,20.72,76,13782517
Belarus,Europe,212201,1517,194984,15700,22461,161,4130911,437241,9447672,68.85,17.15,74,18693051
Belgium,Europe,662694,20038,45744,596912,57049,1725,7257813,624794,11616326,77.66,21.63,83,47411516
Belize,North America,11303,274,10397,632,28158,683,62960,156846,401412,70.34,18.74,66,5387973
Benin,Africa,3304,44,3185,75,269,4,396208,32242,12288650,56.59,16.08,40,3257601
Bhutan,Asia,813,1,467,345,1048,1,329585,424676,776085,65.7,17.95,59,11407293
Bolivia (Plurinational State of),South America,172798,9351,137704,25743,14698,795,447324,38048,11756774,66.02,17.8,64,7892339
Bosnia and Herzegovina,Europe,115633,4330,81625,29678,35362,1324,541875,165714,3269943,75.42,19.58,60,14091338
Botswana,Africa,16050,48,12927,3075,6754,20,559538,235448,2376481,45.59,12.92,61,15281533
Brazil,South America,8105790,203140,7167651,734999,37992,952,28600000,134047,213357846,71.47,19.7,78,13777445
Brunei Darussalam,Asia,173,3,153,17,393,7,85071,193480,439689,72.2,16.78,83,58482213
Bulgaria,Europe,208511,8126,135259,65126,30129,1174,1222539,176654,6920545,71.61,17.6,64,22460684
Burkina Faso,Africa,8082,89,5845,2148,381,4,NA,NA,21201639,51.64,15.52,38,2084024
Burundi,Africa,986,2,773,211,82,0.2,90019,7455,12074788,43.78,12.97,43,740323
Cabo Verde,Africa,12392,114,11733,545,22161,204,107817,192816,559170,70.97,20.36,67,6603679
Cambodia,Asia,391,NA,371,20,23,NA,354130,21028,16840653,58.68,15.81,55,4201509
Cameroon,Africa,26848,448,24892,1508,998,17,149000,5541,26890505,52.82,15.06,43,3509728
Canada,North America,660289,16950,558772,84567,17414,447,14584109,384634,37916818,79.1,22.51,88,45003360
Central African Republic,Africa,4973,63,4885,25,1020,13,35523,7289,4873815,44.34,11.77,32,919668
Chad,Africa,2537,107,1965,465,152,6,NA,NA,16670971,51.08,14.95,27,1530527
Chile,South America,641923,17096,602861,21966,33429,890,6880924,358329,19202823,76.77,21.32,66,22190013
China,Asia,87433,4634,82211,588,61,3,160000000,111163,1439323776,71.58,18.43,76,16277743
Colombia,South America,1786900,46114,1621019,119767,34922,901,8682821,169690,51168770,73.75,21.74,76,13374435
Comoros,Africa,1150,18,860,272,1308,20,NA,NA,879289,61.51,16.34,49,2851127
Congo,Africa,7127,108,5846,1173,1275,19,73120,13083,5588942,52.12,13.87,40,4004679
Costa Rica,North America,177614,2305,136083,39226,34699,450,522113,102002,5118664,78,22.38,76,18267963
Croatia,Europe,219993,4368,210126,5499,53765,1068,1077777,263401,4091774,50.33,14.5,46,26188452
Cyprus,Asia,27350,148,2057,25145,22566,122,845067,697248,1212003,76.76,21.6,81,36970996
Czechia,Europe,831171,13192,662217,155762,77538,1231,3837369,357980,10719516,78.75,21.86,75,38120239
Democratic Republic of the Congo,Africa,19436,611,14743,4082,214,7,NA,NA,90975443,59.84,16.29,44,17769754
Denmark,Europe,181486,1570,153565,26351,31274,271,11360446,1957683,5803006,74.95,19.34,74,924797
Djibouti,Africa,5871,61,5780,30,5897,61,102696,103155,995552,52.44,14.88,39,54665181
Dominican Republic,North America,182103,2427,138076,41600,16699,223,909877,83435,10905277,76.93,20.63,82,4799935
Ecuador,South America,221070,14177,190350,16543,12431,797,775726,43620,17783813,73.22,22.42,74,10044572
Egypt,Africa,149792,8197,118900,22695,1449,79,1000000,9676,103345723,74.53,21.94,76,12033044
El Salvador,North America,48905,1419,43356,4130,7520,218,645753,99293,6503523,69.82,18.46,65,7947986
Equatorial Guinea,Africa,5289,86,5154,49,3707,60,79425,55664,1426876,72.5,21.44,75,16823433
Eritrea,Africa,1556,6,803,747,436,2,23693,6633,3572235,54.31,15.49,40,1725909
Estonia,Europe,33515,283,22876,10356,25256,213,676920,510110,1327008,54.51,13.51,38,35035621
Eswatini,Africa,11435,295,7676,3464,9803,253,103050,88341,1166497,70.94,18.61,75,8472204
Ethiopia,Africa,128316,1994,113374,12948,1102,17,1850100,15888,116448962,47.05,13.58,60,2622484
Fiji,Oceania,53,2,47,4,59,2,21925,24364,899877,50.58,14.15,39,10572579
Finland,Europe,38590,586,31000,7004,6959,106,2564636,462489,5545285,65.9,14.7,64,46673320
France,Europe,2783256,67750,202429,2513077,42590,1037,37897661,579918,65350084,77.6,21.6,79,43002820
Gabon,Africa,9694,66,9498,130,4302,29,389912,173052,2253153,78.91,23.01,78,14998688
Gambia,Africa,3857,125,3677,55,1573,51,30488,12434,2451991,58.1,15.23,51,2118193
